Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.215189993	0.059360001	-0.215189993	0.059360001	256.4968262	2269.799561	254.6278992	0	1.15526998	405.5014343	2269.799561	2	1	-1	182	0	0
1	-0.214000002	0.099059999	-0.214000002	0.099059999	2021.905151	17088.02539	248.207901	0	1.021819949	464.125885	17088.02539	2	1	-1	183	0	0
1	-0.20803	-0.496619999	-0.20803	-0.496619999	1939.471191	16306.95996	247.5530701	0	1.002810001	443.114563	16306.95996	2	1	-1	229	0	0
1	-0.201509997	0.033009999	-0.201509997	0.033009999	2159.501953	17747.09961	244.7518005	0	1.017570019	455.3139648	17747.09961	2	1	-1	84	0	0
1	-0.194680005	-0.560779989	-0.194680005	-0.560779989	433.5462952	4184.959961	265.559021	0	1.101629972	384.009552	4184.959961	2	1	-1	425	0	0
1	-0.191049993	0.111529998	-0.191049993	0.111529998	637.4541626	5055.890137	240.4739532	0	1.036000013	389.6783447	5055.890137	2	1	-1	184	0	0
1	-0.188150004	0.067780003	-0.188150004	0.067780003	603.8813477	4772.872559	240.0994568	0	1.054479957	394.3425598	4772.872559	2	1	-1	417	0	0
1	-0.177839994	0.124219999	-0.177839994	0.124219999	1740.610474	14670.80371	247.8783569	0	1.026669979	419.7322083	14670.80371	2	1	-1	419	0	0
1	-0.168970004	0.062760003	-0.168970004	0.062760003	3120.047363	25538.3418	244.261734	0	1.018079996	508.2935791	25538.3418	2	1	-1	1	0	0
1	-0.162990004	-0.48131001	-0.162990004	-0.48131001	2281.038818	20424.85742	255.4753418	0	1.015149951	439.3800354	20424.85742	2	1	-1	426	0	0
1	-0.152089998	-0.398110002	-0.152089998	-0.398110002	371.1726685	2754.552979	233.1786804	0	1.155019999	426.019165	2754.552979	2	1	-1	125	0	0
1	-0.151309997	0.072099999	-0.151309997	0.072099999	2216.94165	18854.49414	248.9954224	0	1.026419997	471.3258667	18854.49414	2	1	-1	2	0	0
1	-0.149399996	0.032260001	-0.149399996	0.032260001	2125.07373	18410.00977	251.2937927	0	1.017959952	459.4835205	18410.00977	2	1	-1	5	0	0
1	-0.147190005	0.05773	-0.147190005	0.05773	1363.679321	11394.20508	246.7826691	0	1.009230018	432.4974976	11394.20508	2	1	-1	3	0	0
1	-0.132799998	0.051959999	-0.132799998	0.051959999	2972.757324	25136.42969	248.2549744	0	1.006090045	468.7185364	25136.42969	2	1	-1	6	0	0
1	-0.131469995	0.068729997	-0.131469995	0.068729997	2467.660645	21480.0293	251.8822632	0	1.000079989	481.9029541	21480.0293	2	1	-1	4	0	0
1	-0.128800005	-0.083130002	-0.128800005	-0.083130002	735.7397461	6143.406738	246.7227325	0	1.028010011	414.5593262	6143.406738	2	1	-1	13	0	0
1	-0.124799997	0.056139998	-0.124799997	0.056139998	1549.244141	13416.65234	251.2680969	0	1.030689955	449.7234497	13416.65234	2	1	-1	7	0	0
1	-0.12348	-0.02568	-0.12348	-0.02568	1121.47168	9954.333984	254.3603821	0	1.015319943	420.2275391	9954.333984	2	1	-1	14	0	0
1	-0.094959997	-0.046319999	-0.094959997	-0.046319999	2577.466553	21483.1543	246.478775	0	1.008649945	482.6659546	21483.1543	2	1	-1	16	0	0
1	-0.09042	-0.060789999	-0.09042	-0.060789999	954.7667847	8797.928711	259.1946716	0	1.034080029	401.3856201	8797.928711	2	1	-1	224	0	0
1	-0.082649998	-0.104900002	-0.082649998	-0.104900002	1445.004883	12249.63281	248.584549	0	1.02057004	429.1649475	12249.63281	2	1	-1	17	0	0
1	-0.078479998	-0.03317	-0.078479998	-0.03317	2297.045166	20817.60547	257.0161438	0	1.011929989	467.5396423	20817.60547	2	1	-1	15	0	0
1	-0.077320002	-0.00218	-0.077320002	-0.00218	929.750061	8341.03418	255.7150116	0	1.00838995	419.1952209	8341.03418	2	1	-1	223	0	0
1	-0.06044	-0.199279994	-0.06044	-0.199279994	820.2390137	6616.662109	242.6802673	0	1.084840059	395.8598938	6616.662109	2	1	-1	473	0	0
1	-0.037620001	-0.288269997	-0.037620001	-0.288269997	1219.914185	9948.518555	243.9022217	0	1.058820009	458.111145	9948.518555	2	1	-1	217	0	0
1	-0.01743	-0.111270003	-0.01743	-0.111270003	93.87003326	1083.71106	290.1240845	0	1.035269976	369.5811462	1083.71106	2	1	-1	486	0	0
1	0.044520002	0.433050007	0.044520002	0.433050007	1769.305298	16721.95898	262.4838257	0	1.026239991	438.4122925	16721.95898	2	1	-1	91	0	0
1	0.071680002	-0.154479995	0.071680002	-0.154479995	435.5945129	3386.326904	238.0407562	0	1.010050058	397.6560974	3386.326904	2	1	-1	355	0	0
1	0.108099997	0.307720006	0.108099997	0.307720006	1560.29541	14918.46973	263.9882507	0	1.003090024	432.6681824	14918.46973	2	1	-1	255	0	0
1	0.12421	0.127619997	0.12421	0.127619997	149.4494019	1204.871704	243.3693695	0	1.194769979	375.0036926	1204.871704	2	1	-1	327	0	0
1	0.129639998	-0.28422001	0.129639998	-0.28422001	1539.426514	12892.19922	247.0801239	0	1.023020029	448.9315491	12892.19922	2	1	-1	409	0	0
1	0.13053	-0.290509999	0.13053	-0.290509999	1571.587646	13635.26465	251.4906616	0	1.02639997	460.2559814	13635.26465	2	1	-1	406	0	0
